sample	date	info	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	amplitude sign.	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	Re [Ohm*cm^2]	-Im [Ohm*cm^2]
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	1378.7	0.043842	-0.0096156	-0.293	5	200	1	65	0.21921	0.048078
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	1834.4	0.042394	-0.0087045	-0.293	5	200	1	65	0.21197	0.043522500000000006
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	2440.8	0.040352	-0.007824	-0.293	5	200	1	65	0.20176	0.039119999999999995
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	3247.7	0.038856	-0.0071785	-0.293	5	200	1	65	0.19428	0.0358925
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	4321.3	0.03712	-0.0062176	-0.293	5	200	1	65	0.1856	0.031088
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	5749.7	0.035225	-0.004878100000000001	-0.293	5	200	1	65	0.176125	0.024390500000000002
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	7650.3	0.034553	-0.0022745	-0.293	5	200	1	65	0.172765	0.0113725
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	10179.0	0.035171	-0.00075273	-0.293	5	200	1	65	0.175855	0.00376365
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	13544.0	0.036032	1.0410999999999999e-05	-0.293	5	200	1	65	0.18016000000000001	-5.2054999999999995e-05
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	18021.0	0.03639	0.00039904	-0.293	5	200	1	65	0.18195	-0.0019952
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	23979.0	0.036327	0.0012449000000000002	-0.293	5	200	1	65	0.181635	-0.006224500000000001
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	31905.0	0.035975	0.0018175	-0.293	5	200	1	65	0.179875	-0.0090875
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	42452.0	0.035987	0.0027995	-0.293	5	200	1	65	0.17993499999999998	-0.0139975
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	56484.0	0.035605	0.0038769	-0.293	5	200	1	65	0.178025	-0.0193845
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	75156.0	0.035565	0.0049138	-0.293	5	200	1	65	0.177825	-0.024569
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	100000.0	0.036022000000000005	0.0078911	-0.293	5	200	1	65	0.18011000000000002	-0.0394555
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	75156.0	0.035414	0.005266399999999999	-0.293	5	200	1	65	0.17707	-0.026331999999999994
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	56484.0	0.03613	0.0043352	-0.293	5	200	1	65	0.18065	-0.021676
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	42452.0	0.035994	0.0025532	-0.293	5	200	1	65	0.17997	-0.012766
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	31905.0	0.036462	0.001457	-0.293	5	200	1	65	0.18231	-0.007285
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	23979.0	0.035872	0.00080867	-0.293	5	200	1	65	0.17936000000000002	-0.00404335
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	18021.0	0.036294	0.00038507	-0.293	5	200	1	65	0.18147	-0.00192535
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	13544.0	0.035959	0.00010119	-0.293	5	200	1	65	0.17979499999999998	-0.00050595
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	10179.0	0.035184	-0.00076129	-0.293	5	200	1	65	0.17592	0.00380645
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	7650.3	0.034649	-0.0022751	-0.293	5	200	1	65	0.17324499999999998	0.0113755
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	5749.7	0.035264	-0.0047853999999999995	-0.293	5	200	1	65	0.17631999999999998	0.023926999999999997
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	4321.3	0.037074	-0.0062777	-0.293	5	200	1	65	0.18537	0.0313885
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	3247.7	0.038872000000000004	-0.007254999999999999	-0.293	5	200	1	65	0.19436000000000003	0.036274999999999995
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	2440.8	0.040484	-0.0078775	-0.293	5	200	1	65	0.20242	0.039387500000000006
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	1834.4	0.042667000000000004	-0.0087409	-0.293	5	200	1	65	0.21333500000000002	0.04370449999999999
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	1378.7	0.043972000000000004	-0.009410700000000001	-0.293	5	200	1	65	0.21986000000000003	0.047053500000000005
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	1036.2	0.045374	-0.010642	-0.293	5	200	1	65	0.22687	0.05321
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	778.75	0.047219	-0.011725	-0.293	5	200	1	65	0.236095	0.058625
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	585.28	0.049027	-0.013184999999999999	-0.293	5	200	1	65	0.245135	0.065925
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	439.87	0.051018	-0.01459	-0.293	5	200	1	65	0.25509	0.07295
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	330.59	0.053270000000000005	-0.016585	-0.293	5	200	1	65	0.26635000000000003	0.082925
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	248.46	0.056735	-0.018868	-0.293	5	200	1	65	0.283675	0.09434
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	186.73	0.058963999999999996	-0.021514	-0.293	5	200	1	65	0.29481999999999997	0.10757
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	140.34	0.06253600000000001	-0.024304	-0.293	5	200	1	65	0.31268000000000007	0.12151999999999999
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	105.48	0.066562	-0.027613	-0.293	5	200	1	65	0.33281	0.138065
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	79.271	0.071644	-0.031448000000000004	-0.293	5	200	1	65	0.35822	0.15724000000000002
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	59.52	0.077074	-0.035323	-0.293	5	200	1	65	0.38537	0.176615
KIT1-I_(5M_200mA)	2021-09-14 17:28:04	10	44.261	0.084901	-0.039312	-0.293	5	200	1	65	0.424505	0.19656
